Elective_Topic_ID,Name,Knowledge_Unit
,Review of the classes P and NP; introduce P-space and EXP,AL/Advanced computational theory
,Polynomial hierarchy,AL/Advanced computational theory
,NP-completeness (Cook’s theorem),AL/Advanced computational theory
,Classic NP-complete problems,AL/Advanced computational theory
,Reduction Techniques,AL/Advanced computational theory
,Regular languages,"AL/advanced automata, computability and complexity"
,Review of deterministic finite automata (DFAs),"AL/advanced automata, computability and complexity"
,Nondeterministic finite automata (NFAs),"AL/advanced automata, computability and complexity"
,Equivalence of DFAs and NFAs,"AL/advanced automata, computability and complexity"
,Review of regular expressions; their equivalence to finite automata,"AL/advanced automata, computability and complexity"
,Closure properties,"AL/advanced automata, computability and complexity"
,"Proving languages non-regular, via the pumping lemma or alternative means","AL/advanced automata, computability and complexity"
,Context-free languages,"AL/advanced automata, computability and complexity"
,Push-down automata (PDAs),"AL/advanced automata, computability and complexity"
,Relationship of PDAs and context-free grammars,"AL/advanced automata, computability and complexity"
,Properties of context-free languages,"AL/advanced automata, computability and complexity"
,"Turing machines, or an equivalent formal model of universal computation","AL/advanced automata, computability and complexity"
,Nondeterministic Turing machines,"AL/advanced automata, computability and complexity"
,Chomsky hierarchy,"AL/advanced automata, computability and complexity"
,The Church-Turing thesis,"AL/advanced automata, computability and complexity"
,Computability,"AL/advanced automata, computability and complexity"
,Rice’s Theorem,"AL/advanced automata, computability and complexity"
,Examples of uncomputable functions,"AL/advanced automata, computability and complexity"
,Implications of uncomputability,"AL/advanced automata, computability and complexity"
,"Balanced trees (e.g., AVL trees, red-black trees, splay trees, treaps)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Graphs (e.g., topological sort, finding strongly connected components, matching)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Advanced data structures (e.g., B-trees, Fibonacci heaps)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"String-based data structures and algorithms (e.g., suffix arrays, suffix trees, tries)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Network flows (e.g., max flow [Ford-Fulkerson algorithm], max flow – min cut, maximum bipartite matching)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Linear Programming (e.g., duality, simplex method, interior point algorithms)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Number-theoretic algorithms (e.g., modular arithmetic, primality testing, integer factorization)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Geometric algorithms (e.g., points, line segments, polygons. [properties, intersections], finding convex hull, spatial decomposition, collision detection, geometric search/proximity)","AL/Advanced Data Structures, Algorithms, and Analysis"
,Randomized algorithms,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Stochastic algorithms,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Approximation algorithms,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Amortized analysis,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Probabilistic analysis,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Online algorithms and competitive analysis,"AL/Advanced Data Structures, Algorithms, and Analysis"
,"Implementation of simple datapaths, including instruction pipelining, hazard detection and resolution",AR/Functional Organization
,Control unit: hardwired realization vs. microprogrammed realization,AR/Functional Organization
,Instruction pipelining,AR/Functional Organization
,Introduction to instruction-level parallelism (ILP),AR/Functional Organization
,Power Law,AR/Multiprocessing and Alternative Architectures
,Example SIMD and MIMD instruction sets and architectures,AR/Multiprocessing and Alternative Architectures
,"Interconnection networks (hypercube, shuffle-exchange, mesh, crossbar)",AR/Multiprocessing and Alternative Architectures
,Shared multiprocessor memory systems and memory consistency,AR/Multiprocessing and Alternative Architectures
,Multiprocessor cache coherence,AR/Multiprocessing and Alternative Architectures
,Superscalar architecture,AR/Performance Enhancements
,"Branch prediction, Speculative execution, Out-of-order execution",AR/Performance Enhancements
,Prefetching,AR/Performance Enhancements
,Vector processors and GPUs,AR/Performance Enhancements
,Hardware support for multithreading,AR/Performance Enhancements
,Scalability,AR/Performance Enhancements
,"Alternative architectures, such as VLIW/EPIC, and Accelerators and other kinds of Special-Purpose Processors",AR/Performance Enhancements
,"Purpose of modeling and simulation including optimization; supporting decision making, forecasting, safety considerations; for training and education",CN/Modeling and Simulation
,"Tradeoffs including performance, accuracy, validity, and complexity",CN/Modeling and Simulation
,"The simulation process; identification of key characteristics or behaviors, simplifying assumptions; validation of outcomes",CN/Modeling and Simulation
,"Model building: use of mathematical formulas or equations, graphs, constraints; methodologies and techniques; use of time stepping for dynamic systems",CN/Modeling and Simulation
,Formal models and modeling techniques: mathematical descriptions involving simplifying assumptions and avoiding detail. Examples of techniques include:,CN/Modeling and Simulation
,Monte Carlo methods,CN/Modeling and Simulation
,Stochastic processes,CN/Modeling and Simulation
,Queuing theory,CN/Modeling and Simulation
,Petri nets and colored Petri nets,CN/Modeling and Simulation
,"Graph structures such as directed graphs, trees, networks",CN/Modeling and Simulation
,"Games, game theory, the modeling of things using game theory",CN/Modeling and Simulation
,Linear programming and its extensions,CN/Modeling and Simulation
,Dynamic programming,CN/Modeling and Simulation
,"Differential equations: ODE, PDE",CN/Modeling and Simulation
,Non-linear techniques,CN/Modeling and Simulation
,State spaces and transitions,CN/Modeling and Simulation
,Assessing and evaluating models and simulations in a variety of contexts; verification and validation of models and simulations,CN/Modeling and Simulation
,"Important application areas including health care and diagnostics, economics and finance, city and urban planning, science, and engineering",CN/Modeling and Simulation
,"Software in support of simulation and modeling; packages, languages",CN/Modeling and Simulation
,Fundamental programming concepts:,CN/Processing
,"The concept of an algorithm consisting of a finite number of well-defined steps, each of which completes in a finite amount of time, as does the entire process.",CN/Processing
,Examples of well-known algorithms such as sorting and searching.,CN/Processing
,"The concept of analysis as understanding what the problem is really asking, how a problem can be approached using an algorithm, and how information is represented so that a machine can process it.",CN/Processing
,The development or identification of a workflow.,CN/Processing
,The process of converting an algorithm to machine-executable code.,CN/Processing
,"Software processes including lifecycle models, requirements, design, implementation, verification and maintenance.",CN/Processing
,Machine representation of data computer arithmetic.,CN/Processing
,Numerical methods,CN/Processing
,"Algorithms for numerically fitting data (e.g., Newton’s method)",CN/Processing
,"Architectures for numerical computation, including parallel architectures",CN/Processing
,Fundamental properties of parallel and distributed computation:,CN/Processing
,Bandwidth.,CN/Processing
,Latency.,CN/Processing
,Scalability.,CN/Processing
,Granularity.,CN/Processing
,"Parallelism including task, data, and event parallelism.",CN/Processing
,"Parallel architectures including processor architectures, memory and caching.",CN/Processing
,"Parallel programming paradigms including threading, message passing, event driven techniques, parallel software architectures, and MapReduce.",CN/Processing
,Grid computing.,CN/Processing
,The impact of architecture on computational time.,CN/Processing
,Total time to science curve for parallelism: continuum of things.,CN/Processing
,"Computing costs, e.g., the cost of re-computing a value vs. the cost of storing and lookup.",CN/Processing
,Principles of data visualization,CN/Interactive Visualization
,Graphing and visualization algorithms,CN/Interactive Visualization
,Image processing techniques,CN/Interactive Visualization
,Scalability concerns,CN/Interactive Visualization
,"Content management models, frameworks, systems, design methods (as in IM. Information Management)","CN/Data, Information, and Knowledge"
,"Digital representations of content including numbers, text, images (e.g., raster and vector), video (e.g., QuickTime, MPEG2, MPEG4), audio (e.g., written score, MIDI, sampled digitized sound track) and animations; complex/composite/aggregate objects; FRBR","CN/Data, Information, and Knowledge"
,"Digital content creation/capture and preservation, including digitization, sampling, compression, conversion, transformation/translation, migration/emulation, crawling, harvesting","CN/Data, Information, and Knowledge"
,"Content structure / management, including digital libraries and static/dynamic/stream aspects for:","CN/Data, Information, and Knowledge"
,"Data: data structures, databases","CN/Data, Information, and Knowledge"
,"Information: document collections, multimedia pools, hyperbases (hypertext, hypermedia),","CN/Data, Information, and Knowledge"
,"catalogs, repositories","CN/Data, Information, and Knowledge"
,"Knowledge: ontologies, triple stores, semantic networks, rules","CN/Data, Information, and Knowledge"
,"Processing and pattern recognition, including indexing, searching (including: queries and query languages; central / federated / P2P), retrieving, clustering, classifying/categorizing, analyzing/mining/extracting, rendering, reporting, handling transactions","CN/Data, Information, and Knowledge"
,"User / society support for presentation and interaction, including browse, search, filter, route, visualize, share, collaborate, rate, annotate, personalize, recommend","CN/Data, Information, and Knowledge"
,"Modeling, design, logical and physical implementation, using relevant systems/software","CN/Data, Information, and Knowledge"
,"Error, stability, convergence, including truncation and round-off",CN/Numerical Analysis
,"Function approximation including Taylor’s series, interpolation, extrapolation, and regression",CN/Numerical Analysis
,"Numerical differentiation and integration (Simpson’s Rule, explicit and implicit methods)",CN/Numerical Analysis
,"Differential equations (Euler’s Method, finite differences)",CN/Numerical Analysis
,Double buffering,GV/Fundamental Concepts
,"Rendering in nature, e.g., the emission and scattering of light and its relation to numerical integration",GV/Basic Rendering
,"Forward and backward rendering (i.e., ray-casting and rasterization)",GV/Basic Rendering
,Polygonal representation,GV/Basic Rendering
,"Basic radiometry, similar triangles, and projection model",GV/Basic Rendering
,Affine and coordinate system transformations,GV/Basic Rendering
,Ray tracing,GV/Basic Rendering
,"Visibility and occlusion, including solutions to this problem such as depth buffering, Painter’s algorithm, and ray tracing",GV/Basic Rendering
,The forward and backward rendering equation,GV/Basic Rendering
,Simple triangle rasterization,GV/Basic Rendering
,Rendering with a shader-based API,GV/Basic Rendering
,"Texture mapping, including minification and magnification (e.g., trilinear MIP-mapping)",GV/Basic Rendering
,Application of spatial data structures to rendering,GV/Basic Rendering
,Sampling and anti-aliasing,GV/Basic Rendering
,Scene graphs and the graphics pipeline,GV/Basic Rendering
,Basic geometric operations such as intersection calculation and proximity tests,GV/Geometric Modeling
,"Volumes, voxels, and point-based representations",GV/Geometric Modeling
,Parametric polynomial curves and surfaces,GV/Geometric Modeling
,Implicit representation of curves and surfaces,GV/Geometric Modeling
,"Approximation techniques such as polynomial curves, Bezier curves, spline curves and surfaces, and nonuniform rational basis (NURB) spines, and level set method",GV/Geometric Modeling
,"Surface representation techniques including tessellation, mesh representation, mesh fairing, and mesh generation techniques such as Delaunay triangulation, marching cubes",GV/Geometric Modeling
,Spatial subdivision techniques,GV/Geometric Modeling
,"Procedural models such as fractals, generative modeling, and L-systems",GV/Geometric Modeling
,"Graftals, cross referenced with programming languages (grammars to generated pictures)",GV/Geometric Modeling
,Elastically deformable and freeform deformable models,GV/Geometric Modeling
,Subdivision surfaces,GV/Geometric Modeling
,Multiresolution modeling,GV/Geometric Modeling
,Reconstruction,GV/Geometric Modeling
,Constructive Solid Geometry (CSG) representation,GV/Geometric Modeling
,"Solutions and approximations to the rendering equation, for example:",GV/Advanced Rendering
,Distribution ray tracing and path tracing,GV/Advanced Rendering
,Photon mapping,GV/Advanced Rendering
,Bidirectional path tracing,GV/Advanced Rendering
,Reyes (micropolygon) rendering,GV/Advanced Rendering
,Metropolis light transport,GV/Advanced Rendering
,"Time (motion blur), lens position (focus), and continuous frequency (color) and their impact on rendering",GV/Advanced Rendering
,Shadow mapping,GV/Advanced Rendering
,Occlusion culling,GV/Advanced Rendering
,Bidirectional Scattering Distribution function (BSDF) theory and microfacets,GV/Advanced Rendering
,Subsurface scattering,GV/Advanced Rendering
,Area light sources,GV/Advanced Rendering
,Hierarchical depth buffering,GV/Advanced Rendering
,"The Light Field, image-based rendering",GV/Advanced Rendering
,Non-photorealistic rendering,GV/Advanced Rendering
,GPU architecture,GV/Advanced Rendering
,"Human visual systems including adaptation to light, sensitivity to noise, and flicker fusion",GV/Advanced Rendering
,Forward and inverse kinematics,GV/Computer Animation
,Collision detection and response,GV/Computer Animation
,"Procedural animation using noise, rules (boids/crowds), and particle systems",GV/Computer Animation
,Skinning algorithms,GV/Computer Animation
,"Physics based motions including rigid body dynamics, physical particle systems, mass-spring networks for",GV/Computer Animation
,cloth and flesh and hair,GV/Computer Animation
,Key-frame animation,GV/Computer Animation
,Splines,GV/Computer Animation
,"Data structures for rotations, such as quaternions",GV/Computer Animation
,Camera animation,GV/Computer Animation
,Motion capture,GV/Computer Animation
,"Visualization of 2D/3D scalar fields: color mapping, isosurfaces",GV/Visualization
,"Direct volume data rendering: ray-casting, transfer functions, segmentation",GV/Visualization
,Visualization of:,GV/Visualization
,Vector fields and flow data,GV/Visualization
,Time-varying data,GV/Visualization
,"High-dimensional data: dimension reduction, parallel coordinates,",GV/Visualization
,"Non-spatial data: multi-variate, tree/graph structured, text",GV/Visualization
,Perceptual and cognitive foundations that drive visual abstractions,GV/Visualization
,Visualization design,GV/Visualization
,Evaluation of visualization methods,GV/Visualization
,Applications of visualization,GV/Visualization
,"Software Architecture Patterns, e.g., Model-View controller; command objects, online, offline (cross reference PL/Event Driven and Reactive Programming, where MVC is used in the context of event-driven programming)",HCI/Programming Interactive Systems
,"Interaction Design Patterns: visual hierarchy, navigational distance",HCI/Programming Interactive Systems
,Event management and user interaction,HCI/Programming Interactive Systems
,Geometry management (cross-reference GV/Geometric Modelling),HCI/Programming Interactive Systems
,Choosing interaction styles and interaction techniques,HCI/Programming Interactive Systems
,"Presenting information: navigation, representation, manipulation",HCI/Programming Interactive Systems
,"Interface animation techniques (e.g., scene graphs)",HCI/Programming Interactive Systems
,Widget classes and libraries,HCI/Programming Interactive Systems
,"Modern GUI libraries (e.g. iOS, Android, JavaFX) GUI builders and UI programming environments (crossreference PBD/Mobile Platforms)",HCI/Programming Interactive Systems
,"Approaches to, and characteristics of, the design process",HCI/User-Centered Design and Testing
,Functionality and usability requirements (cross-reference to SE/Requirements Engineering),HCI/User-Centered Design and Testing
,"Techniques for gathering requirements, e.g., interviews, surveys, ethnographic and contextual enquiry",HCI/User-Centered Design and Testing
,"Techniques and tools for the analysis and presentation of requirements, e.g., reports, personas",HCI/User-Centered Design and Testing
,"Prototyping techniques and tools, e.g., sketching, storyboards, low-fidelity prototyping, wireframes",HCI/User-Centered Design and Testing
,"Evaluation without users, using both qualitative and quantitative techniques, e.g., walkthroughs, GOMS, expert-based analysis, heuristics, guidelines, and standards",HCI/User-Centered Design and Testing
,"Evaluation with users, e.g., observation, think-aloud, interview, survey, experiment",HCI/User-Centered Design and Testing
,"Challenges to effective evaluation, e.g., sampling, generalization",HCI/User-Centered Design and Testing
,Reporting the results of evaluations,HCI/User-Centered Design and Testing
,"Internationalization, designing for users from other cultures, cross-cultural",HCI/User-Centered Design and Testing
,Choosing interaction styles and interaction techniques,HCI/New Interactive Technologies
,"Representing information to users: navigation, representation, manipulation",HCI/New Interactive Technologies
,"Approaches to design, implementation and evaluation of non-mouse interaction",HCI/New Interactive Technologies
,Touch and multi-touch interfaces,HCI/New Interactive Technologies
,"Shared, embodied, and large interfaces",HCI/New Interactive Technologies
,New input modalities (such as sensor and location data),HCI/New Interactive Technologies
,"New Windows, e.g., iPhone, Android",HCI/New Interactive Technologies
,Speech recognition and natural language processing (cross reference IS/Natural Language Processing),HCI/New Interactive Technologies
,Wearable and tangible interfaces,HCI/New Interactive Technologies
,Persuasive interaction and emotion,HCI/New Interactive Technologies
,Ubiquitous and context-aware interaction technologies (Ubicomp),HCI/New Interactive Technologies
,"Bayesian inference (e.g. predictive text, guided pointing)",HCI/New Interactive Technologies
,Ambient/peripheral display and interaction,HCI/New Interactive Technologies
,"Asynchronous group communication, e.g., e-mail, forums, social networks",HCI/Collaboration and Communication
,"Synchronous group communication, e.g., chat rooms, conferencing, online games",HCI/Collaboration and Communication
,"Social media, social computing, and social network analysis",HCI/Collaboration and Communication
,"Online collaboration, 'smart' spaces, and social coordination aspects of workflow technologies",HCI/Collaboration and Communication
,Online communities,HCI/Collaboration and Communication
,"Software characters and intelligent agents, virtual worlds and avatars (cross-reference IS/Agents)",HCI/Collaboration and Communication
,Social psychology,HCI/Collaboration and Communication
,t-tests,HCI/Statistical Methods for HCI
,ANOVA,HCI/Statistical Methods for HCI
,"Randomization (non-parametric) testing, within vs. between-subjects design",HCI/Statistical Methods for HCI
,Calculating effect size,HCI/Statistical Methods for HCI
,Exploratory data analysis,HCI/Statistical Methods for HCI
,Presenting statistical data,HCI/Statistical Methods for HCI
,Combining qualitative and quantitative results,HCI/Statistical Methods for HCI
,Applied psychology and security policies,HCI/Human Factors and Security
,Security economics,HCI/Human Factors and Security
,"Regulatory environments – responsibility, liability and self-determination",HCI/Human Factors and Security
,Organizational vulnerabilities and threats,HCI/Human Factors and Security
,Usability design and security,HCI/Human Factors and Security
,"Pretext, impersonation and fraud, e.g., phishing and spear phishing (cross-reference IAS/Threats and Attacks)",HCI/Human Factors and Security
,"Trust, privacy and deception",HCI/Human Factors and Security
,"Biometric authentication (camera, voice)",HCI/Human Factors and Security
,Identity management,HCI/Human Factors and Security
,Intellectual styles and perspectives to technology and its interfaces,HCI/Design-Oriented HCI
,Consideration of HCI as a design discipline,HCI/Design-Oriented HCI
,Sketching,HCI/Design-Oriented HCI
,Participatory design,HCI/Design-Oriented HCI
,Critically reflective HCI,HCI/Design-Oriented HCI
,Critical technical practice,HCI/Design-Oriented HCI
,Technologies for political activism,HCI/Design-Oriented HCI
,Philosophy of user experience,HCI/Design-Oriented HCI
,Ethnography and ethnomethodology,HCI/Design-Oriented HCI
,Indicative domains of application,HCI/Design-Oriented HCI
,Sustainability,HCI/Design-Oriented HCI
,Arts-informed computing,HCI/Design-Oriented HCI
,Output,"HCI/Mixed, Augmented and Virtual Reality"
,Sound,"HCI/Mixed, Augmented and Virtual Reality"
,Stereoscopic display,"HCI/Mixed, Augmented and Virtual Reality"
,"Force feedback simulation, haptic devices","HCI/Mixed, Augmented and Virtual Reality"
,User input,"HCI/Mixed, Augmented and Virtual Reality"
,Viewer and object tracking,"HCI/Mixed, Augmented and Virtual Reality"
,Pose and gesture recognition,"HCI/Mixed, Augmented and Virtual Reality"
,Accelerometers,"HCI/Mixed, Augmented and Virtual Reality"
,Fiducial markers,"HCI/Mixed, Augmented and Virtual Reality"
,User interface issues,"HCI/Mixed, Augmented and Virtual Reality"
,Physical modelling and rendering,"HCI/Mixed, Augmented and Virtual Reality"
,"Physical simulation: collision detection & response, animation","HCI/Mixed, Augmented and Virtual Reality"
,Visibility computation,"HCI/Mixed, Augmented and Virtual Reality"
,"Time-critical rendering, multiple levels of details (LOD)","HCI/Mixed, Augmented and Virtual Reality"
,System architectures,"HCI/Mixed, Augmented and Virtual Reality"
,Game engines,"HCI/Mixed, Augmented and Virtual Reality"
,Mobile augmented reality,"HCI/Mixed, Augmented and Virtual Reality"
,Flight simulators,"HCI/Mixed, Augmented and Virtual Reality"
,CAVEs,"HCI/Mixed, Augmented and Virtual Reality"
,Medical imaging,"HCI/Mixed, Augmented and Virtual Reality"
,Networking,"HCI/Mixed, Augmented and Virtual Reality"
,"p2p, client-server, dead reckoning, encryption, synchronization","HCI/Mixed, Augmented and Virtual Reality"
,Distributed collaboration,"HCI/Mixed, Augmented and Virtual Reality"
,Information flow control,IAS/Defensive Programming
,Correctly generating randomness for security purposes,IAS/Defensive Programming
,Mechanisms for detecting and mitigating input and data sanitization errors,IAS/Defensive Programming
,Fuzzing,IAS/Defensive Programming
,Static analysis and dynamic analysis,IAS/Defensive Programming
,Program verification,IAS/Defensive Programming
,"Operating system support (e.g., address space randomization, canaries)",IAS/Defensive Programming
,"Hardware support (e.g., DEP, TPM)",IAS/Defensive Programming
,"Attacks on privacy and anonymity (cross-reference HCI/Foundations/Social models that inform interaction design: culture, communication, networks and organizations (cross-reference SP/Privacy and Civil Liberties/technology-based solutions for privacy protection)",IAS/Threats and Attacks
,Malware/unwanted communication such as covert channels and steganography,IAS/Threats and Attacks
,"Security for wireless, cellular networks (cross-reference NC/Mobility/Principles of cellular networks; cross-reference NC/Mobility/802.11)",IAS/Network Security
,"Other non-wired networks (e.g., ad hoc, sensor, and vehicular networks)",IAS/Network Security
,Censorship resistance,IAS/Network Security
,"Operational network security management (e.g., configure network access control)",IAS/Network Security
,"Mathematical Preliminaries essential for cryptography, including topics in linear algebra, number theory, probability theory, and statistics",IAS/Cryptography
,Cryptographic primitives:,IAS/Cryptography
,pseudo-random generators and stream ciphers,IAS/Cryptography
,"block ciphers (pseudo-random permutations), e.g., AES",IAS/Cryptography
,pseudo-random functions,IAS/Cryptography
,"hash functions, e.g., SHA2, collision resistance",IAS/Cryptography
,message authentication codes,IAS/Cryptography
,key derivations functions,IAS/Cryptography
,Symmetric key cryptography,IAS/Cryptography
,Perfect secrecy and the one time pad,IAS/Cryptography
,"Modes of operation for semantic security and authenticated encryption (e.g., encrypt-then-MAC, OCB, GCM)",IAS/Cryptography
,"Message integrity (e.g., CMAC, HMAC)",IAS/Cryptography
,Public key cryptography:,IAS/Cryptography
,"Trapdoor permutation, e.g., RSA",IAS/Cryptography
,"Public key encryption, e.g., RSA encryption, EI Gamal encryption",IAS/Cryptography
,Digital signatures,IAS/Cryptography
,Public-key infrastructure (PKI) and certificates,IAS/Cryptography
,"Hardness assumptions, e.g., Diffie-Hellman, integer factoring",IAS/Cryptography
,"Authenticated key exchange protocols, e.g., TLS",IAS/Cryptography
,"Cryptographic protocols: challenge-response authentication, zero-knowledge protocols, commitment, oblivious transfer, secure 2-party or multi-party computation, secret sharing, and applications",IAS/Cryptography
,"Motivate concepts using real-world applications, e.g., electronic cash, secure channels between clients and servers, secure electronic mail, entity authentication, device pairing, voting systems.",IAS/Cryptography
,Security definitions and attacks on cryptographic primitives:,IAS/Cryptography
,"Goals: indistinguishability, unforgeability, collision-resistance",IAS/Cryptography
,"Attacker capabilities: chosen-message attack (for signatures), birthday attacks, side channel attacks, fault injection attacks.",IAS/Cryptography
,Cryptographic standards and references implementations,IAS/Cryptography
,Quantum cryptography,IAS/Cryptography
,Web security model,IAS/Web Security
,Browser security model including same-origin policy,IAS/Web Security
,"Client-server trust boundaries, e.g., cannot rely on secure execution in the client",IAS/Web Security
,"Session management, authentication",IAS/Web Security
,Single sign-on,IAS/Web Security
,HTTPS and certificates,IAS/Web Security
,Application vulnerabilities and defenses,IAS/Web Security
,SQL injection,IAS/Web Security
,XSS,IAS/Web Security
,CSRF,IAS/Web Security
,Client-side security,IAS/Web Security
,Cookies security policy,IAS/Web Security
,"HTTP security extensions, e.g. HSTS",IAS/Web Security
,"Plugins, extensions, and web apps",IAS/Web Security
,Web user tracking,IAS/Web Security
,"Server-side security tools, e.g. Web Application Firewalls (WAFs) and fuzzers",IAS/Web Security
,Code integrity and code signing,IAS/Platform Security
,"Secure boot, measured boot, and root of trust",IAS/Platform Security
,Attestation,IAS/Platform Security
,TPM and secure co-processors,IAS/Platform Security
,"Security threats from peripherals, e.g., DMA, IOMMU",IAS/Platform Security
,"Physical attacks: hardware Trojans, memory probes, cold boot attacks",IAS/Platform Security
,"Security of embedded devices, e.g., medical devices, cars",IAS/Platform Security
,Trusted path,IAS/Platform Security
,"Privacy policy (cross-reference SP/Social Context/Social implications of computing in a networked world; cross-reference SP/Professional Ethics/Accountability, responsibility and liability; cross-reference SP/Privacy and Civil Liberties/Legal foundations of privacy protection)",IAS/Security Policy and Governance
,Inference controls/statistical disclosure limitation,IAS/Security Policy and Governance
,"Backup policy, password refresh policy",IAS/Security Policy and Governance
,Breach disclosure policy,IAS/Security Policy and Governance
,Data collection and retention policies,IAS/Security Policy and Governance
,Supply chain policy,IAS/Security Policy and Governance
,Cloud security tradeoffs,IAS/Security Policy and Governance
,Basic Principles and methodologies for digital forensics,IAS/Digital Forensics
,Design systems with forensic needs in mind,IAS/Digital Forensics
,Rules of Evidence – general concepts and differences between jurisdictions and Chain of Custody,IAS/Digital Forensics
,Search and Seizure of evidence: legal and procedural requirements,IAS/Digital Forensics
,Digital Evidence methods and standards,IAS/Digital Forensics
,Techniques and standards for Preservation of Data,IAS/Digital Forensics
,Legal and Reporting Issues including working as an expert witness,IAS/Digital Forensics
,OS/File System Forensics,IAS/Digital Forensics
,Application Forensics,IAS/Digital Forensics
,Web Forensics,IAS/Digital Forensics
,Network Forensics,IAS/Digital Forensics
,Mobile Device Forensics,IAS/Digital Forensics
,Computer/network/system attacks,IAS/Digital Forensics
,Attack detection and investigation,IAS/Digital Forensics
,Anti-forensics,IAS/Digital Forensics
,Building security into the software development lifecycle (cross-reference SE/Software Processes),IAS/Secure Software Engineering
,Secure design principles and patterns,IAS/Secure Software Engineering
,Secure software specifications and requirements,IAS/Secure Software Engineering
,Secure software development practices (cross-reference SE/Software Construction),IAS/Secure Software Engineering
,Secure testing - the process of testing that security requirements are met (including static and dynamic analysis).,IAS/Secure Software Engineering
,Software quality assurance and benchmarking measurements,IAS/Secure Software Engineering
,"Approaches for managing large volumes of data (e.g., noSQL database systems, use of MapReduce).",IM/Database Systems
,The impact of indices on query performance,IM/Indexing
,The basic structure of an index,IM/Indexing
,Keeping a buffer of data in memory,IM/Indexing
,Creating indexes with SQL,IM/Indexing
,Indexing text,IM/Indexing
,"Indexing the web (e.g., web crawling)",IM/Indexing
,Mapping conceptual schema to a relational schema,IM/Relational Databases
,Entity and referential integrity,IM/Relational Databases
,Relational algebra and relational calculus,IM/Relational Databases
,Relational Database design,IM/Relational Databases
,Functional dependency,IM/Relational Databases
,Decomposition of a schema; lossless-join and dependency-preservation properties of a decomposition,IM/Relational Databases
,"Candidate keys, superkeys, and closure of a set of attributes",IM/Relational Databases
,Normal forms (BCNF),IM/Relational Databases
,Multi-valued dependency (4NF),IM/Relational Databases
,"Join dependency (PJNF, 5NF)",IM/Relational Databases
,Representation theory,IM/Relational Databases
,Overview of database languages,IM/Query Languages
,"SQL (data definition, query formulation, update sublanguage, constraints, integrity)",IM/Query Languages
,Selections,IM/Query Languages
,Projections,IM/Query Languages
,Select-project-join,IM/Query Languages
,Aggregates and group-by,IM/Query Languages
,Subqueries,IM/Query Languages
,QBE and 4th-generation environments,IM/Query Languages
,Different ways to invoke non-procedural queries in conventional languages,IM/Query Languages
,"Introduction to other major query languages (e.g., XPATH, SPARQL)",IM/Query Languages
,Stored procedures,IM/Query Languages
,Transactions,IM/Transaction Processing
,Failure and recovery,IM/Transaction Processing
,Concurrency control,IM/Transaction Processing
,"Interaction of transaction management with storage, especially buffering",IM/Transaction Processing
,Distributed DBMS,IM/Distributed Databases
,Distributed data storage,IM/Distributed Databases
,Distributed query processing,IM/Distributed Databases
,Distributed transaction model,IM/Distributed Databases
,Homogeneous and heterogeneous solutions,IM/Distributed Databases
,Client-server distributed databases (cross-reference SF/Computational Paradigms),IM/Distributed Databases
,Parallel DBMS,IM/Distributed Databases
,"Parallel DBMS architectures: shared memory, shared disk, shared nothing;",IM/Distributed Databases
,"Speedup and scale-up, e.g., use of the MapReduce processing model (cross-reference CN/Processing, PD/Parallel Decomposition)",IM/Distributed Databases
