Knowledge_Unit_ID,Name,Default_Tier1_Hours,Alternative_Tier1_Hours,Default_Tier2_Hours,Alternative_Tier2_Hours,Default_Electives,Alternative_Electives,Distributed,
,AL/Advanced Automata Theory and Computability,0,0,0,0,1,0,0,
,AL/Advanced Computational Complexity,0,0,0,0,1,0,0,
,"AL/Advanced Data Structures, Algorithms, and Analysis",0,0,0,0,1,0,0,
,AL/Algorithmic Strategies,5,0,1,0,0,0,0,
,AL/Basic Analysis,2,0,2,0,0,0,0,
,"AL/Basic Automata, Computability and Complexity",3,0,3,0,0,0,0,
,AL/Fundamental Data Structures and Algorithms,9,0,3,0,0,0,0,
,AR/Assembly Level Machine Organization,0,0,6,0,0,0,0,
,AR/Assembly Level Machine Organization,0,0,0,1,0,0,1,
,AR/Digital Logic and Digital Systems,0,0,3,0,0,0,0,
,AR/Functional Organization,0,0,0,0,1,0,0,
,AR/Interfacing and Communication,0,0,1,0,0,0,0,
,AR/Machine Level Representation of Data,0,0,3,0,0,0,0,
,AR/Memory System Organization and Architecture,0,0,3,0.5,0,0,1,
,AR/Multiprocessing and Alternative Architectures,0,0,0,0,1,1,1,
,AR/Performance Enhancements,0,0,0,0,1,0,0,
,"CN/Data, Information, and Knowledge",0,0,0,0,1,0,0,
,CN/Interactive Visualization,0,0,0,0,1,0,0,
,CN/Introduction to Modeling and Simulation,1,0,0,0,0,0,0,
,CN/Modeling and Simulation,0,0,0,0,1,0,0,
,CN/Numerical Analysis,0,0,0,0,1,0,0,
,CN/Processing,0,0,0,0,1,0,0,
,DS/Basic Logic,9,0,0,0,0,0,0,
,DS/Basics of Counting,5,0,0,0,0,0,0,
,DS/Discrete Probability,6,0,2,0,0,0,0,
,DS/Graphs and Trees,3,0,1,0,0,0,0,
,DS/Proof Techniques,10,0,1,0,0,0,0,
,"DS/Sets, Relations, and Functions",4,0,0,0,0,0,0,
,GV/Advanced Rendering,0,0,0,0,1,0,0,
,GV/Basic Rendering,0,0,0,0,1,0,0,
,GV/Computer Animation,0,0,0,0,1,0,0,
,GV/Fundamental Concepts,2,0,1,0,1,0,0,
,GV/Geometric Modeling,0,0,0,0,1,0,0,
,GV/Visualization,0,0,0,0,1,0,0,
,HCI/Collaboration & Communication,0,0,0,0,1,0,0,
,HCI/Design-Oriented HCI,0,0,0,0,1,0,0,
,HCI/Designing Interaction,0,0,4,0,0,0,0,
,HCI/Foundations,4,1,0,0,0,0,1,
,HCI/Human Factors & Security,0,0,0,0,1,1,1,
,"HCI/Mixed, Augmented and Virtual Reality",0,0,0,0,1,0,0,
,HCI/New Interactive Technologies,0,0,0,0,1,0,0,
,HCI/Programming Interactive Systems,0,0,0,0,1,0,0,
,HCI/Statistical Methods for HCI,0,0,0,0,1,0,0,
,HCI/User-Centered Design & Testing,0,0,0,0,1,0,0,
,IAS/Cryptography,0,0,1,0,0,0,0,
,IAS/Defensive Programming,1,0,1,0,1,0,0,
,IAS/Digital Forensics,0,0,0,0,1,0,0,
,IAS/Foundational Concepts in Security,1,0,0,0,0,0,0,
,IAS/Fundamental Concepts,0,1,0,2,0,0,1,This knowledge unit comprises all the base hours of the knowledge area for IAS. It requires 1 hour of IAS as an area and 2 of IAS as an area.
,IAS/Network Security,0,0,2,0,1,0,0,
,IAS/Platform Security,0,0,0,0,1,0,0,
,IAS/Principles of Secure Design,1,0,1,0,0,0,0,
,IAS/Secure Software Engineering,0,0,0,0,1,0,0,
,IAS/Security Policy and Governance,0,0,0,0,1,0,0,
,IAS/Threats and Attacks,0,0,1,0,0,0,0,
,IAS/Web Security,0,0,0,0,1,0,0,
,IM/Data Mining,0,0,0,0,1,0,0,
,IM/Data Modeling,0,0,4,0,0,0,0,
,IM/Database Systems,0,0,3,0,1,0,0,
,IM/Distributed Databases,0,0,0,0,1,1,1,
,IM/Indexing,0,0,0,0,1,0,0,
,IM/Information Management Concepts,1,0.5,2,0.5,0,0,1,
,IM/Information Storage And Retrieval,0,0,0,0,1,0,0,
,IM/MultiMedia Systems,0,0,0,0,1,0,0,
,IM/Physical Database Design,0,0,0,0,1,0,0,
,IM/Query Languages,0,0,0,0,1,0,0,
,IM/Relational Databases,0,0,0,0,1,0,0,
,IM/Transaction Processing,0,0,0,0,1,1,1,
,IS/Advanced Machine Learning,0,0,0,0,1,0,0,
,IS/Advanced Representation and Reasoning,0,0,0,0,1,0,0,
,IS/Advanced Search,0,0,0,0,1,0,0,
,IS/Agents,0,0,0,0,1,0,0,
,IS/Basic Knowledge Representation and Reasoning,0,0,3,0,0,0,0,
,IS/Basic Machine Learning,0,0,2,0,0,0,0,
,IS/Basic Search Strategies,0,0,4,0,0,0,0,
,IS/Fundamental Issues,0,0,1,0,1,0,0,
,IS/Natural Language Processing,0,0,0,0,1,0,0,
,IS/Perception and Computer Vision,0,0,0,0,1,0,0,
,IS/Reasoning Under Uncertainty,0,0,0,0,0,1,1,
,IS/Reasoning Under Uncertainty,0,0,0,0,1,0,0,
,IS/Robotics,0,0,0,0,1,0,0,
,NC/Introduction,1.5,1,0,0,0,0,1,
,NC/Local Area Networks,0,0,1.5,1,0,0,1,
,NC/Mobility,0,0,1,1,0,0,1,
,NC/Networked Applications,1.5,0.5,0,0,0,0,1,
,NC/Reliable Data Delivery,0,0,2,1.5,0,0,1,
,NC/Resource Allocation,0,0,1,0.5,0,0,1,
,NC/Routing and Forwarding,0,0,1.5,1,0,0,1,
,NC/Social Networking,0,0,0,0,1,0,0,
,OS/Concurrency,0,0,3,1.5,0,0,1,
,OS/Device Management,0,0,0,0,1,1,1,
,OS/Fault Tolerance,0,0,0,0,1,1,1,
,OS/File Systems,0,0,0,0,1,1,1,
,OS/Memory Management,0,0,3,2,0,0,1,
,OS/Operating System Principles,2,1,0,0,0,0,1,
,OS/Overview of Operating Systems,2,2,0,0,0,0,1,
,OS/Real Time and Embedded Systems,0,0,0,0,1,1,1,
,OS/Scheduling and Dispatch,0,0,3,2,0,0,1,
,OS/Security and Protection,0,0,2,2,0,0,1,
,OS/System Performance Evaluation,0,0,0,0,1,1,1,
,OS/Virtual Machines,0,0,0,0,1,1,1,
,PBD/Game Platforms,0,0,0,0,1,0,0,
,PBD/Industrial Platforms,0,0,0,0,1,1,1,
,PBD/Introduction,0,0,0,0,1,0,0,
,PBD/Mobile Platforms,0,0,0,0,1,1,1,
,PBD/Web Platforms,0,0,0,0,1,1,1,
,PD/Cloud Computing,0,0,0,0,1,1,0,This is an elective
,PD/Communication and Coordination,1,1,3,1,1,1,1,
,PD/Distributed Systems,0,0,0,0,1,1,1,This is an elective and is correct
,PD/Formal Models and Semantics,0,0,0,0,1,0,0,
,"PD/Parallel Algorithms, Analysis, and Programming",0,0,3,0,1,0,0,
,PD/Parallel Architecture,1,0.5,1,0,1,1,1,
,PD/Parallel Decomposition,1,0.5,3,0,0,0,1,
,PD/Parallel Performance,0,0,0,0,1,0,0,
,PD/Parallelism Fundamentals,2,1,0,0,0,0,1,
,PL/Advanced Programming Constructs,0,0,0,0,1,0,0,
,PL/Basic Type Systems,1,0.5,4,2,0,0,1,
,PL/Code Generation,0,0,0,0,1,0,0,
,PL/Compiler Semantic Analysis,0,0,0,0,1,0,0,
,PL/Concurrency and Parallelism,0,0,0,0,1,1,1,
,PL/Event-Driven and Reactive Programming,0,0,2,0,0,0,0,
,PL/Formal Semantics,0,0,0,0,1,0,0,
,PL/Functional Programming,3,1,4,0,0,0,1,
,PL/Language Pragmatics,0,0,0,0,1,0,0,
,PL/Language Translation and Execution,0,0,3,1,0,0,1,
,PL/Logic Programming,0,0,0,0,1,0,0,
,PL/Object-Oriented Programming,4,1,6,3,0,0,1,
,PL/Program Representation,0,0,1,0,0,0,0,
,PL/Runtime Systems,0,0,0,0,1,1,1,
,PL/Static Analysis,0,0,0,0,1,1,1,
,PL/Syntax Analysis,0,0,0,0,1,0,0,
,PL/Type Systems,0,0,0,0,1,1,1,
,SDF/Algorithms and Design,11,0,0,0,0,0,0,
,SDF/Development Methods,10,8,0,0,0,0,1,
,SDF/Fundamental Data Structures,12,0,0,0,0,0,0,
,SDF/Fundamental Programming Concepts,10,1,0,0,0,0,1,
,SE/Formal Methods,0,0,0,0,1,0,0,
,SE/Requirements Engineering,1,0,3,0,1,0,0,
,SE/Software Construction,0,0,2,2,1,1,1,
,SE/Software Design,3,0,5,0,1,0,0,
,SE/Software Evolution,0,0,2,1.5,1,0,1,
,SE/Software Processes,2,1,1,0,1,0,1,"This one is correct. The distributed hours do not cover elective topics, but it does cover the Tier 1 Hours"
,SE/Software Project Management,0,0,2,1,1,1,1,
,SE/Software Reliability,0,0,1,1,1,0,1,This one is also correct. The fact that it said tier 1 is to be assumed as an error.
,SE/Software Verification and Validation,0,0,4,1,1,1,1,
,SE/Tools and Environments,0,0,2,1,0,0,1,
,SF/Computational Paradigms,3,0,0,0,0,0,0,
,SF/Cross-Layer Communications,3,3,0,0,0,0,1,
,SF/Evaluation,3,0,0,0,0,0,0,
,SF/Parallelism,3,1,0,0,0,0,1,
,SF/Proximity,0,0,3,0,0,0,0,
,SF/Quantitative Evaluation,0,0,0,0,1,0,0,
,SF/Reliability through Redundancy,0,0,2,2,0,0,1,
,SF/Resource Allocation and Scheduling,0,0,2,0.5,0,0,1,This one is also correct. The fact that it said tier 1 is to be assumed as an error.
,SF/State and State Machines,6,0,0,0,0,0,0,
,SF/Virtualization and Isolation,0,0,2,1,0,0,1,
,SP/Analytical Tools,2,1,0,0,0,0,1,
,SP/Economies of Computing,0,0,0,0,1,0,0,
,SP/History,0,0,0,0,1,0,0,
,SP/Intellectual Property,2,2,0,0,1,1,1,
,SP/Privacy and Civil Liberties,2,0.5,0,0,1,0,1,
,SP/Professional Communication,1,0,0,0,1,0,0,
,SP/Professional Ethics,2,1,2,0.5,0,0,1,
,"SP/Security Policies, Laws and Computer Crimes",0,0,0,0,1,1,1,
,SP/Social Context,1,0.5,2,0,0,0,1,
,SP/Sustainability,1,0,1,0,1,0,0,